category	day_of_week	description	incident_num	latitude	longitude	date	resolution
STOLEN PROPERTY	Monday	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING	160234686	37.7979466732983	-122.406460643507	2016-03-21T07:56:00Z	ARREST, BOOKED
LARCENY/THEFT	Thursday	GRAND THEFT FROM LOCKED AUTO	160206083	37.7817492235226	-122.396381836885	2016-03-11T05:00:00Z	NONE
DRUNKENNESS	Thursday	UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE	160206099	37.7821198488931	-122.415669661443	2016-03-11T06:36:00Z	ARREST, BOOKED
OTHER OFFENSES	Monday	VIOLATION OF RESTRAINING ORDER	160234937	37.7307424863811	-122.397983785696	2016-03-21T14:09:00Z	ARREST, BOOKED
SUSPICIOUS OCC	Monday	INVESTIGATIVE DETENTION	160234965	37.7896127448056	-122.394770820927	2016-03-21T14:51:00Z	NONE
VANDALISM	Sunday	MALICIOUS MISCHIEF, VANDALISM	160234971	37.7376060856492	-122.412114411516	2016-03-21T01:46:00Z	NONE
VEHICLE THEFT	Sunday	STOLEN AUTOMOBILE	160234993	37.7191521323328	-122.456051618264	2016-03-21T03:30:00Z	NONE
OTHER OFFENSES	Monday	TRAFFIC VIOLATION	160235010	37.7422960681573	-122.423286810998	2016-03-21T15:37:00Z	ARREST, BOOKED
ASSAULT	Monday	BATTERY	160237527	37.7932284304797	-122.399370508543	2016-03-22T01:00:00Z	NONE
ARSON	Friday	ARSON OF A VEHICLE	160209106	37.7110023300609	-122.420529801066	2016-03-12T07:46:00Z	NONE
ASSAULT	Friday	BATTERY	160210288	37.7741190407726	-122.440949589926	2016-03-12T07:00:00Z	NONE
OTHER OFFENSES	Tuesday	DUMPING OF OFFENSIVE MATTER	160239169	37.7608878061194	-122.435002864298	2016-03-22T19:34:00Z	ARREST, BOOKED
LARCENY/THEFT	Wednesday	PETTY THEFT OF PROPERTY	160212018	37.7454601797967	-122.464048723553	2016-03-09T20:00:00Z	NONE
LARCENY/THEFT	Sunday	PETTY THEFT FROM A BUILDING	160212024	37.7890813338947	-122.413568359612	2016-03-13T17:00:00Z	NONE
OTHER OFFENSES	Tuesday	VIOLATION OF STAY AWAY ORDER	160240871	37.7636369573177	-122.422805752252	2016-03-23T05:35:00Z	ARREST, BOOKED
OTHER OFFENSES	Tuesday	RESISTING ARREST	160240871	37.7636369573177	-122.422805752252	2016-03-23T05:35:00Z	ARREST, BOOKED
OTHER OFFENSES	Tuesday	DRIVERS LICENSE, SUSPENDED OR REVOKED	160240893	37.724912078558	-122.475003009213	2016-03-23T06:23:00Z	ARREST, BOOKED
WARRANTS	Tuesday	WARRANT ARREST	160240906	37.8030557323315	-122.433332271053	2016-03-23T06:27:00Z	ARREST, BOOKED
BURGLARY	Thursday	BURGLARY OF RESIDENCE, UNLAWFUL ENTRY	160212325	37.7616197675283	-122.441985077519	2016-03-11T04:00:00Z	NONE
MISSING PERSON	Saturday	MISSING ADULT	160212331	37.7745145380854	-122.452839772389	2016-03-12T20:00:00Z	NONE
VANDALISM	Sunday	MALICIOUS MISCHIEF, BREAKING WINDOWS	160212347	37.7887772719153	-122.408431861057	2016-03-13T19:30:00Z	NONE
TRESPASS	Friday	TRESPASSING	160212353	37.7839015140659	-122.463484669544	2016-03-11T20:00:00Z	NONE
DRUG/NARCOTIC	Monday	SALE OF BASE/ROCK COCAINE	160214105	37.7332252032804	-122.391245623019	2016-03-14T16:00:00Z	ARREST, BOOKED
VANDALISM	Monday	MALICIOUS MISCHIEF, VANDALISM	160214111	37.7717499829743	-122.437022956853	2016-03-07T10:18:00Z	NONE
ASSAULT	Wednesday	BATTERY WITH SERIOUS INJURIES	160242918	37.773295406746	-122.428178458093	2016-03-23T23:29:00Z	ARREST, BOOKED
ASSAULT	Wednesday	FALSE IMPRISONMENT	160242918	37.773295406746	-122.428178458093	2016-03-23T23:29:00Z	ARREST, BOOKED
ASSAULT	Wednesday	CHILD ABUSE (PHYSICAL)	160242918	37.773295406746	-122.428178458093	2016-03-23T23:29:00Z	ARREST, BOOKED
OTHER OFFENSES	Wednesday	CONSPIRACY	160242918	37.773295406746	-122.428178458093	2016-03-23T23:29:00Z	ARREST, BOOKED
NON-CRIMINAL	Friday	TRAFFIC ACCIDENT	160214280	37.7536252816751	-122.49040097876	2016-03-18T21:15:00Z	NONE
MISSING PERSON	Tuesday	MISSING ADULT	160243013	37.728562039425	-122.45323045823	2016-03-23T05:00:00Z	NONE
BURGLARY	Monday	SAFE BURGLARY	160217024	37.7168806524941	-122.440777706243	2016-03-15T06:37:00Z	NONE
MISSING PERSON	Monday	MISSING ADULT	160217030	37.7617007179518	-122.42158168137	2016-03-15T02:45:00Z	NONE
ASSAULT	Thursday	THREATS AGAINST LIFE	160245796	37.7835634796332	-122.41506687647	2016-03-25T01:36:00Z	ARREST, BOOKED
ROBBERY	Thursday	ROBBERY ON THE STREET WITH A KNIFE	160245809	37.7829514828801	-122.413259498719	2016-03-24T23:35:00Z	NONE
LARCENY/THEFT	Thursday	PETTY THEFT SHOPLIFTING	160245815	37.7841893501425	-122.407633520742	2016-03-24T23:50:00Z	NONE
BURGLARY	Thursday	BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY	160245837	37.7797665517286	-122.438328082289	2016-03-24T17:30:00Z	NONE
MISSING PERSON	Tuesday	MISSING ADULT	160217579	37.7738617771611	-122.413045971966	2016-03-15T16:10:00Z	NOT PROSECUTED
LARCENY/THEFT	Thursday	GRAND THEFT FROM LOCKED AUTO	160246324	37.7824948907735	-122.410689907787	2016-03-25T00:30:00Z	NONE
LARCENY/THEFT	Thursday	GRAND THEFT FROM A BUILDING	160246346	37.775420706711	-122.403404791479	2016-03-25T05:30:00Z	NONE
ASSAULT	Tuesday	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP	160217789	37.7564790387047	-122.414532039691	2016-03-15T11:30:00Z	ARREST, BOOKED
ASSAULT	Tuesday	INFLICT INJURY ON COHABITEE	160217789	37.7564790387047	-122.414532039691	2016-03-15T11:30:00Z	ARREST, BOOKED
OTHER OFFENSES	Friday	DRIVERS LICENSE, SUSPENDED OR REVOKED	160246493	37.7869408998805	-122.411518820359	2016-03-25T07:46:00Z	ARREST, BOOKED
OTHER OFFENSES	Friday	RESISTING ARREST	160246506	37.787148807979	-122.409876622532	2016-03-25T07:28:00Z	ARREST, BOOKED
TRESPASS	Friday	TRESPASSING	160246506	37.787148807979	-122.409876622532	2016-03-25T07:28:00Z	ARREST, BOOKED
NON-CRIMINAL	Friday	AIDED CASE, MENTAL DISTURBED	160246512	37.7266917170382	-122.388904406633	2016-03-25T07:30:00Z	NONE
BURGLARY	Monday	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY	160220895	37.7651269832499	-122.407406866036	2016-03-15T01:30:00Z	NONE
LARCENY/THEFT	Tuesday	PETTY THEFT FROM LOCKED AUTO	160220908	37.7261333176324	-122.437443869361	2016-03-15T19:00:00Z	NONE
ASSAULT	Saturday	AGGRAVATED ASSAULT WITH A GUN	160249550	37.7564864109309	-122.406539115148	2016-03-26T07:37:00Z	ARREST, BOOKED
WEAPON LAWS	Saturday	POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN	160249550	37.7564864109309	-122.406539115148	2016-03-26T07:37:00Z	ARREST, BOOKED
WEAPON LAWS	Saturday	POSS OF LOADED FIREARM	160249550	37.7564864109309	-122.406539115148	2016-03-26T07:37:00Z	ARREST, BOOKED
DRUG/NARCOTIC	Saturday	POSSESSION OF MARIJUANA	160249550	37.7564864109309	-122.406539115148	2016-03-26T07:37:00Z	ARREST, BOOKED
ASSAULT	Saturday	BATTERY	160251668	37.7908083300178	-122.403208277822	2016-03-26T23:15:00Z	NONE
LARCENY/THEFT	Saturday	GRAND THEFT FROM PERSON	160251793	37.7647828165893	-122.424104315404	2016-03-27T03:40:00Z	NONE
ASSAULT	Friday	AGGRAVATED ASSAULT WITH A KNIFE	160226138	37.7837848211584	-122.398932711095	2016-03-18T09:17:00Z	ARREST, BOOKED
LARCENY/THEFT	Sunday	PETTY THEFT OF PROPERTY	160254480	37.758797388387	-122.459420973333	2016-03-28T03:42:00Z	NONE
SUSPICIOUS OCC	Sunday	SUSPICIOUS OCCURRENCE	160254496	37.7681540346442	-122.500458705939	2016-03-28T01:45:00Z	NONE
TRESPASS	Monday	TRESPASSING	160257393	37.7532944407249	-122.428458187544	2016-03-29T02:50:00Z	NONE
OTHER OFFENSES	Thursday	LOST/STOLEN LICENSE PLATE	160230145	37.7421034351605	-122.379951817281	2016-03-03T20:00:00Z	NONE
LARCENY/THEFT	Thursday	PETTY THEFT OF PROPERTY	160230151	37.7443688410754	-122.435709983124	2016-03-18T00:08:00Z	NONE
NON-CRIMINAL	Tuesday	DEATH REPORT, CAUSE UNKNOWN	160258517	37.7858329476013	-122.431612703437	2016-03-29T16:30:00Z	NONE
BURGLARY	Tuesday	BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY	160258523	37.7762328753299	-122.396164058532	2016-03-29T08:00:00Z	NONE
VEHICLE THEFT	Monday	STOLEN AUTOMOBILE	160258551	37.7785384966058	-122.425000578155	2016-03-29T00:15:00Z	NONE
BURGLARY	Tuesday	BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY	160258567	37.7577060629957	-122.403442888647	2016-03-29T07:01:00Z	NONE
MISSING PERSON	Saturday	MISSING ADULT	160230747	37.7479994493226	-122.420832650303	2016-03-19T17:00:00Z	NONE
BURGLARY	Saturday	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY	160230769	37.7123588004385	-122.412741397426	2016-03-19T19:00:00Z	NONE
OTHER OFFENSES	Tuesday	TRAFFIC VIOLATION ARREST	160259117	37.7875490095115	-122.421762501792	2016-03-29T19:45:00Z	ARREST, BOOKED
LARCENY/THEFT	Tuesday	GRAND THEFT FROM PERSON	160259123	37.7878271137225	-122.408384275542	2016-03-29T19:22:00Z	NONE
NON-CRIMINAL	Monday	DEATH REPORT, CAUSE UNKNOWN	160259139	37.7656812762554	-122.457848242832	2016-03-21T17:00:00Z	NONE
LARCENY/THEFT	Friday	LOST PROPERTY, PETTY THEFT	160259145	37.7541765870499	-122.47916556857	2016-03-25T22:50:00Z	NONE
FRAUD	Friday	CREDIT CARD, THEFT BY USE OF	160231018	37.789434763004	-122.406958660602	2016-03-19T01:00:00Z	NONE
NON-CRIMINAL	Friday	LOST PROPERTY	160231018	37.789434763004	-122.406958660602	2016-03-19T01:00:00Z	NONE
BURGLARY	Monday	BURGLARY, FORCIBLE ENTRY	160259270	37.7731734400875	-122.396759086061	2016-03-28T22:00:00Z	NONE
DRUG/NARCOTIC	Tuesday	POSSESSION OF MARIJUANA	160259286	37.7799444052046	-122.414317857881	2016-03-29T20:39:00Z	ARREST, BOOKED
DRUG/NARCOTIC	Tuesday	POSSESSION OF HEROIN FOR SALES	160259286	37.7799444052046	-122.414317857881	2016-03-29T20:39:00Z	ARREST, BOOKED
DRUG/NARCOTIC	Tuesday	POSSESSION OF HALLUCINOGENIC FOR SALES	160259286	37.7799444052046	-122.414317857881	2016-03-29T20:39:00Z	ARREST, BOOKED
OTHER OFFENSES	Saturday	TRAFFIC VIOLATION ARREST	160231864	37.7316630694594	-122.390164818731	2016-03-20T06:04:00Z	ARREST, BOOKED
OTHER OFFENSES	Saturday	TAMPERING WITH A VEHICLE	160231870	37.7343842612378	-122.438808662559	2016-03-19T10:00:00Z	NONE
OTHER OFFENSES	Tuesday	TRAFFIC VIOLATION ARREST	160260158	37.7122058691973	-122.410641280689	2016-03-30T00:47:00Z	ARREST, BOOKED
FRAUD	Wednesday	ACCESS CARD INFORMATION, THEFT OF	160260164	37.7307541873099	-122.386768853234	2016-03-23T15:03:00Z	NONE
SUSPICIOUS OCC	Wednesday	SUSPICIOUS OCCURRENCE	160260164	37.7307541873099	-122.386768853234	2016-03-23T15:03:00Z	NONE
NON-CRIMINAL	Wednesday	COURTESY REPORT	160260164	37.7307541873099	-122.386768853234	2016-03-23T15:03:00Z	NONE
LARCENY/THEFT	Wednesday	PETTY THEFT FROM A BUILDING	160263685	37.7334238295995	-122.436795161314	2016-03-30T19:00:00Z	NONE
MISSING PERSON	Monday	FOUND PERSON	160234987	37.7798399991998	-122.510524514092	2016-03-21T15:22:00Z	NONE
